city_state,weight_distance,from_dallas,from_away
Fairfield_OH,10473541523.814472,984,1654
Fairfield_TX,15282232342.312473,1945,693
Fairhope_AL,12927610078.165937,1129,1509
Fairmont_WV,10256261147.216728,1062,1576
Fairport_NY,11084900453.052765,1330,1308
Fajardo_PR,14877832020.417622,2571,67
Fall River_MA,11816146308.704838,1640,998
Fallbrook_CA,11580454131.186594,2098,540
Falling Waters_WV,10372338290.379187,1154,1484
Falls Church_VA,10412349473.882095,1177,1461
Fargo_ND,14036968205.184689,1335,1303
Farmingdale_NY,11171931032.271843,1385,1253
Farmington_MI,10818598355.729359,1136,1502
Farmington_MO,11999492988.941238,874,1764
Farmington_NM,12623476219.395657,2027,611
Farmington_UT,12323177845.558445,2042,596
Farragut_TN,10679354207.78111,981,1657
Fayette City_PA,10315635008.186289,1080,1558
Abbeville_LA,14327483100.048656,1256,1382
Aberdeen_MD,10563517870.369919,1210,1428
Aberdeen_SD,14051994017.35186,1326,1312
Abilene_TX,14759458599.02116,1986,652
Abingdon_MD,10545440308.798153,1207,1431
Absarokee_MT,13332898671.514626,2018,620
Acworth_GA,11119336571.641937,1009,1629
Ada_OK,14697656970.139763,505,2133
Addison_IL,11366620963.602594,1076,1562
Adelanto_CA,11447678120.711868,2097,541
Adrian_MI,10751361902.085426,1087,1551
Aguada_PR,14850649220.941942,2564,74
Aguadilla_PR,14850233722.675066,2564,74
Aguas Buenas_PR,14865373710.237074,2567,71
Ahoskie_NC,10715670996.06657,1181,1457
Aibonito_PR,14864032820.683458,2567,71
Aiea_HI,15083506794.6714,2617,21
Aiken_SC,11016766683.365341,1102,1536
Akron_OH,10443093829.084606,1073,1565
Alameda_CA,11639301489.463627,2109,529
Alamo_TX,15381448196.59412,2532,106
Alamogordo_NM,13343429335.362274,2033,605
Albany_GA,11829872853.888424,1086,1552
Albany_NY,11425329593.65629,1443,1195
Albany_OR,12614312516.71047,2142,496
Albertville_AL,11364734662.080135,956,1682
